geometry,brand,brand:wikidata,brand:wikipedia,check_date,check_date:opening_hours,name,opening_hours,shop,addr:housenumber,addr:street,level,wheelchair,addr:city,addr:country,addr:postcode,addr:suburb,toilets:wheelchair,wheelchair:description,website,pet,phone,email,payment:american_express,payment:coins,payment:mastercard,payment:notes,payment:visa,contact:email,contact:fax,contact:phone,contact:website,note,operator,fax,payment:credit_cards,payment:debit_cards,post_office,post_office:brand,post_office:brand:wikidata,payment:girocard,source,contact:facebook,delivery,description,species:de,addr:inclusion,contact:instagram,ref:vatin,dispensing,opening_hours:covid19,old_name,wikimedia_commons,surveillance,start_date,opening_hours:signed,organic,post_office:ref,post_office:type,url,alt_name,building,roof:shape,building:colour,building:levels,payment:cash,roof:levels,indoor,room,entrance,longitude,latitude,full_address,district,neighborhood,neighborhood_id,district_id
POINT (13.3707163 52.5647261),Fressnapf,Q875796,en:Fressnapf,,2025-01-11,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-18:00,pet,47,Pankower Allee,,yes,Berlin,DE,13409,Reinickendorf,,,,,+49 30 43724675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3707163,52.5647261,"Fressnapf, 47, Pankower Allee, Große Lettekolonie, Reinickendorf, Berlin, 13409, Deutschland",Reinickendorf,Reinickendorf,1201,11012012
POINT (13.55979 52.506351),Das Futterhaus,Q1167914,de:Das Futterhaus,,,Das Futterhaus,,pet,108,Weißenhöher Straße,,yes,Berlin,,12683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.55979,52.506351,"Das Futterhaus, 108, Weißenhöher Straße, Gut Champignon, Alt-Biesdorf, Biesdorf, Marzahn-Hellersdorf, Berlin, 12683, Deutschland",Marzahn-Hellersdorf,Biesdorf,1002,11010010
POINT (13.4243961 52.4878945),Das Futterhaus,Q1167914,de:Das Futterhaus,,,Das Futterhaus,Mo-Sa 10:00-20:00,pet,10,Hermannplatz,,yes,,,,,,,https://www.futterhaus.de/,,+493061209038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4243961,52.4878945,"Das Futterhaus, 10, Hermannplatz, Reuterkiez, Neukölln, Berlin, 10967, Deutschland",Friedrichshain-Kreuzberg,Kreuzberg,0202,11002002
POINT (13.3843777 52.5031233),Fressnapf,Q875796,de:Fressnapf,2024-10-26,2023-10-02,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-18:00,pet,68,Stresemannstraße,,yes,Berlin,,10963,,,"Eingang rollstuhlgerecht, Ausgang (momentan) mit Ware sehr zugestellt, keine Toilette.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3843777,52.5031233,"Fressnapf, 68, Stresemannstraße, Zeitungsviertel, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10963, Deutschland",Friedrichshain-Kreuzberg,Kreuzberg,0202,11002002
POINT (13.3333768 52.5953256),,,,,2024-01-29,Marine Aquarium Senior,Mo-Sa 10:00-18:00,pet,85-86,Oranienburger Straße,0,limited,Berlin,,13437,,,,http://www.marine-aquarium-senior.net,,+49 30 40910702,info@marine-aquarium-senior.net,,,,,,,,,,,,+49 30 40910704,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3333768,52.5953256,"Marine Aquarium Senior, 85-86, Oranienburger Straße, Alt-Wittenau, Wittenau, Reinickendorf, Berlin, 13437, Deutschland",Reinickendorf,Wittenau,1209,11012012
POINT (13.3422181 52.4689259),,,,,2023-03-18,Steffis Futterkeks,"Mo-Th 09:00-12:00,14:00-18:00; Fr 09:00-12:00,14:00-18:30; Sa 09:00-13:00",pet,63,Cranachstraße,,no,Berlin,DE,12157,Schöneberg,,,,,,,,,,,,,,,,,,,no,no,post_partner,DPD,Q541030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3422181,52.4689259,"Steffis Futterkeks, 63, Cranachstraße, Malerviertel, Schöneberg, Tempelhof-Schöneberg, Berlin, 12157, Deutschland",Tempelhof-Schöneberg,Schöneberg,0701,11007007
POINT (13.5072413 52.4992451),Fressnapf,Q875796,en:Fressnapf,,2025-07-14,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-19:00,pet,32,Volkradstraße,,yes,Berlin,,10319,,,,https://www.fressnapf.de/stores/fressnapf-berlin-friedrichsfelde/,,+49 30 50018185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5072413,52.4992451,"Fressnapf, 32, Volkradstraße, Sewanviertel, Friedrichsfelde, Lichtenberg, Berlin, 10319, Deutschland",Lichtenberg,Friedrichsfelde,1101,11011011
POINT (13.289485 52.6316783),,,,2024-08-10,2024-08-10,BARFER'S,Mo-Fr 10:00-18:00; Sa 09:00-16:00,pet,,,,yes,,,,,,,,,,,,,yes,,yes,,,,,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.289485,52.6316783,"BARFER'S, Welfenallee, Frohnau, Reinickendorf, Berlin, 13465, Deutschland",Reinickendorf,Frohnau,1205,11012012
POINT (13.336112 52.4303841),Das Futterhaus,Q1167914,de:Das Futterhaus,,,Das Futterhaus,Mo-Fr 09:00-19:00; Sa 09:00-18:00,pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.336112,52.4303841,"Das Futterhaus, 17, Kaiser-Wilhelm-Straße, Lankwitz, Steglitz-Zehlendorf, Berlin, Teltow, 12247, Deutschland",Steglitz-Zehlendorf,Lankwitz,0603,11006006
POINT (13.5847722 52.5148667),Das Futterhaus,Q1167914,de:Das Futterhaus,,,Das Futterhaus,Mo-Sa 09:00-20:00,pet,34,Gülzower Straße,,yes,Berlin,,12621,,,,https://www.futterhaus.de/service/filialen/berlin-biesdorf/,,+49 30 85627040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5847722,52.5148667,"Das Futterhaus, 34, Gülzower Straße, Kaulsdorf-Nord I, Hellersdorf, Marzahn-Hellersdorf, Berlin, 12621, Deutschland",Marzahn-Hellersdorf,Kaulsdorf,1003,11010010
POINT (13.313977 52.5851788),Fressnapf,Q875796,en:Fressnapf,,,Fressnapf,"Mo-Fr 09:00-20:00, Sa 09:00-18:00",pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.313977,52.5851788,"Fressnapf, Holzhauser Straße, Holzhauser Markt, Borsigwalde, Reinickendorf, Berlin, 13509, Deutschland",Reinickendorf,Borsigwalde,1211,11012012
POINT (13.5093021 52.404655),Fressnapf,Q875796,en:Fressnapf,,,Fressnapf,,pet,,,,yes,,,,,,,https://www.fressnapf.de/stores/fressnapf-berlin/,,,,,,,,,,,,,,Fressnapf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5093021,52.404655,"Fressnapf, Waltersdorfer Chaussee, Gartenstadt Rudow – Frauenviertel, Rudow, Neukölln, Berlin, 12355, Deutschland",Neukölln,Rudow,0804,11008008
POINT (13.4870701 52.5561789),Fressnapf,Q875796,de:Fressnapf,,,Fressnapf,,pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4870701,52.5561789,"Fressnapf, Hansastraße, Weißensee, Pankow, Berlin, 13088, Deutschland",Pankow,Weißensee,0302,11003003
POINT (13.3263566 52.6071687),Das Futterhaus,Q1167914,,,2025-07-16,Das Futterhaus,Mo-Sa 09:00-20:00,pet,6-10,Oraniendamm,,yes,Berlin,DE,13469,Waidmannslust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3263566,52.6071687,"Das Futterhaus, 6-10, Oraniendamm, Waidmannslust, Reinickendorf, Berlin, 13469, Deutschland",Reinickendorf,Waidmannslust,1207,11012012
POINT (13.3470021 52.4146719),Das Futterhaus,Q1167914,,,,Das Futterhaus,Mo-Sa 09:00-19:00,pet,57-59,Hildburghauser Straße,,,Berlin,DE,12279,Marienfelde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3470021,52.4146719,"Das Futterhaus, 57-59, Hildburghauser Straße, Großwohnsiedlung Waldsassener Straße, Marienfelde, Tempelhof-Schöneberg, Berlin, Teltow, 12279, Deutschland",Tempelhof-Schöneberg,Marienfelde,0705,11007007
POINT (13.176754 52.5331085),Das Futterhaus,Q1167914,,,,Das Futterhaus,,pet,139,Brunsbütteler Damm,,,Berlin,DE,13581,Spandau,,,,,,,,,,,,,,,,,,,,,,,,,Geoportal Berlin / Hauskoordinaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.176754,52.5331085,"Das Futterhaus, 139, Brunsbütteler Damm, Spandau-West, Spandau, Berlin, 13581, Deutschland",Spandau,Spandau,0501,11005005
POINT (13.3287533 52.4740731),,,,,,Soul Bits,Mo-Fr 12:00-18:00; Sa 10:00-14:00,pet,133,Bundesallee,,no,Berlin,DE,12161,Friedenau,,,https://www.soul-bits.de/,dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3287533,52.4740731,"Soul Bits, 133, Bundesallee, Wagnerviertel, Friedenauer Höhe, Friedenau, Tempelhof-Schöneberg, Berlin, 12161, Deutschland",Tempelhof-Schöneberg,Friedenau,0702,11007007
POINT (13.4217267 52.5432971),,,,,,Van Loeper,"Mo-Fr 12:00-19:00; Sa 13:00-18:00; Su,PH off",pet,16,Dunckerstraße,,no,Berlin,DE,10437,Prenzlauer Berg,,,,,,,,,,,,,,,https://www.vanloeper.com/,,,,,,,,,,,https://www.facebook.com/VanLoeper/,yes,BARF-Hundenahrung,,,,,,,,,,,,,,,,,,,,,,,,,,13.4217267,52.5432971,"Van Loeper, 16, Dunckerstraße, Göhrener Ei, Prenzlauer Berg, Pankow, Berlin, 10437, Deutschland",Pankow,Prenzlauer Berg,0301,11003003
POINT (13.5878064 52.4419354),Fressnapf,Q875796,,,,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-18:00,pet,,,,yes,,,,,,,https://www.fressnapf.de/stores/fressnapf-berlin-koepenick/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5878064,52.4419354,"Fressnapf, Pablo-Neruda-Straße, Salvador-Allende-Viertel I, Köpenick, Treptow-Köpenick, Berlin, 12559, Deutschland",Treptow-Köpenick,Köpenick,0910,11009009
POINT (13.3261473 52.4470536),,,,,,Garnelen Gümmer,"We, Fr 14:00-19:00; Th, Sa 10:00-19:00",pet,63,Klingsorstraße,,,Berlin,DE,12167,Steglitz,,,,,,,,,,,,,,+4916014 77375,http://www.garnelen-guemmer.de/,,,,,,,,,,,,,Mo./ Di. Abholung nach Absprache,Garnelen,,,,,,,,,,,,,,,,,,,,,,,,,13.3261473,52.4470536,"Garnelen Gümmer, 63, Klingsorstraße, Steglitz, Steglitz-Zehlendorf, Berlin, Teltow, 12167, Deutschland",Steglitz-Zehlendorf,Steglitz,0601,11006006
POINT (13.464873 52.5227409),Fressnapf,Q875796,de:Fressnapf,2025-01-18,2025-01-18,Fressnapf,Mo-Sa 09:00-20:00,pet,40,Hermann-Blankenstein-Straße,,yes,Berlin,DE,10249,Prenzlauer Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.464873,52.5227409,"Fressnapf, 40, Hermann-Blankenstein-Straße, Eldenaer Viertel, Prenzlauer Berg, Pankow, Berlin, 10249, Deutschland",Pankow,Prenzlauer Berg,0301,11003003
POINT (13.3403714 52.5545963),,,,2025-07-19,2023-02-20,Alles für's Tier,"Mo-Fr 10:00-18:30, Sa 10:00-14:00",pet,15,Otawistraße,,,Berlin,DE,13351,Wedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,actual,,,,,,,,,,,,,,,,,,,,,,,,13.3403714,52.5545963,"Alles für's Tier, 15, Otawistraße, Afrikanisches Viertel, Wedding, Mitte, Berlin, 13351, Deutschland",Mitte,Wedding,0105,11001001
POINT (13.3267806 52.4689615),,,,,,Säbelzahn- und Schnabelbar,"Mo-Fr 11:00-13:00,14:00-18:00; Sa 10:00-13:00",pet,70,Stubenrauchstraße,,no,Berlin,DE,12161,Friedenau,,,https://www.saebelzahn-und-schnabelbar.de/,,+49 30 85967417,,,,,,,,,,,,,,yes,yes,,,,,,https://www.facebook.com/SaebelzahnundSchnabelbar/,,,,,https://www.instagram.com/saebelzahn_und_schnabelbar/,DE205118494,,,,,,,,,,,,,,,,,,,,,,13.3267806,52.4689615,"Säbelzahn- und Schnabelbar, 70, Stubenrauchstraße, Friedenau, Tempelhof-Schöneberg, Berlin, 12161, Deutschland",Tempelhof-Schöneberg,Friedenau,0702,11007007
POINT (13.3408061 52.4509686),,,,,,Alles für das Tier,Mo-Fr 09:00-18:30; Sa 09:00-14:00,pet,29,Steglitzer Damm,,yes,Berlin,DE,12169,Steglitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,13.3408061,52.4509686,"Sicherheitstechnik Theuer, 29, Steglitzer Damm, Steglitz, Steglitz-Zehlendorf, Berlin, 12169, Deutschland",Steglitz-Zehlendorf,Steglitz,0601,11006006
POINT (13.3373299 52.4542839),,,,2024-08-02,,Antstore - Fachhandel für Ameisen,"Mo-Fr 09:00-12:00,13:00-18:00; Sa[1] 12:00-16:00; PH off",pet,41,Selerweg,,no,Berlin,,12169,Steglitz,,,,,,,,,,,,info@antstore.de,,+49 30 76687051,https://www.antstore.net/,,Martin Sebesta,,,,,,,,,,,,Ameise,,,,,"24/7 closed ""online shop open""",,,,,,,,,,,,,,,,,,,,13.3373299,52.4542839,"Antstore - Fachhandel für Ameisen, 41, Selerweg, Steglitz, Steglitz-Zehlendorf, Berlin, 12169, Deutschland",Steglitz-Zehlendorf,Steglitz,0601,11006006
POINT (13.5000473 52.6309429),Fressnapf,Q875796,de:Fressnapf,,2025-10-20,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-18:00,pet,29,Karower Chaussee,,yes,Berlin,DE,13125,Buch,,,https://www.fressnapf.de/stores/fressnapf-berlin-buch/,,+49 3094394267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5000473,52.6309429,"Fressnapf, 29, Karower Chaussee, Buch II, Buch, Pankow, Berlin, 13125, Deutschland",Pankow,Buch,0309,11003003
POINT (13.5708713 52.5572397),Fressnapf,Q875796,de:Fressnapf,,,Fressnapf,Mo-Fr 09:00-20:00; Sa 09:00-18:00,pet,9,Oberweißbacher Straße,,limited,Berlin,,12687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5708713,52.5572397,"Fressnapf, 9, Oberweißbacher Straße, Quartier Oberweißbacher Straße, Marzahn, Marzahn-Hellersdorf, Berlin, 12687, Deutschland",Marzahn-Hellersdorf,Marzahn,1001,11010010
POINT (13.4662319 52.5614218),Das Futterhaus,Q1167914,,,,Das Futterhaus,,pet,261,Berliner Allee,,,Berlin,,13088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBETA,,,,,,,,,,,,,,,,,,,13.4662319,52.5614218,"Das Futterhaus, 261, Berliner Allee, Weißensee, Pankow, Berlin, 13088, Deutschland",Pankow,Weißensee,0302,11003003
POINT (13.465542 52.509616),,,,,2025-10-27,Bones for Dogs,"Tu,We,Fr 11:00-18:00; Th 12:00-18:00; Sa 11:00-15:00",pet,,,,no,,,,,,,http://www.bonesfordogs.de/,,,,,,,,,,,,,,,,,,,,,,,,,"raw food, BARF, for dogs",,,,,,,,File:Bones for dogs.jpg,,,,,,,,,,,,,,,,,,13.465542,52.509616,"Bones for Dogs, Glatzer Straße, Boxhagener Kiez, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10247, Deutschland",Friedrichshain-Kreuzberg,Friedrichshain,0201,11002002
POINT (13.2887329 52.418628),Fressnapf,Q875796,en:Fressnapf,,,Fressnapf,,pet,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2887329,52.418628,"Fressnapf, Goerzallee, Lichterfelde West, Lichterfelde, Steglitz-Zehlendorf, Berlin, 14167, Deutschland",Steglitz-Zehlendorf,Lichterfelde,0602,11006006
POINT (13.3962122 52.5322313),,,,,,Kiezhund,Mo-Fr 10:00-18:30; Sa 12:00-18:00,pet,154,Invalidenstraße,,yes,Berlin,DE,10115,Mitte,,,,dog,,,,,,,,,,,https://kiezhund.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3962122,52.5322313,"Kiezhund, 154, Invalidenstraße, Rosenthaler Vorstadt, Mitte, Berlin, 10115, Deutschland",Mitte,Mitte,0101,11001001
POINT (13.203764 52.5444786),,,,,,Zoohaus Fröhlich,"Mo,We,Fr,Sa 08:00-13:00, Mo,We,Fr 15:00-18:00; Tu,Th,Su,PH off",pet,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.203764,52.5444786,"Zoohaus Fröhlich, Falkenhagener Straße, Neustadt, Spandau, Berlin, 13585, Deutschland",Spandau,Spandau,0501,11005005
POINT (13.5717547 52.5433492),,,,,,Barfhaus Marzahn-Hellersdorf,"Tu-Fr 11:00-13:00,15:00-18:00; Sa 11:00-13:00; Mo off",pet,3,Zinndorfer Straße,,,Berlin,DE,12685,Marzahn,,,http://www.barfhaus-berlin.de/,,,,,,,,,,,,,,,,,,,,,,Geoportal Berlin / Hauskoordinaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5717547,52.5433492,"Barfhaus Marzahn-Hellersdorf, 3, Zinndorfer Straße, Wohngebiet Landsberger Tor, Marzahn, Marzahn-Hellersdorf, Berlin, 12685, Deutschland",Marzahn-Hellersdorf,Marzahn,1001,11010010
POINT (13.4315402 52.5511155),Fressnapf,Q875796,en:Fressnapf,,2024-03-26,Fressnapf,Mo-Sa 09:00-20:00,pet,5,Ostseestraße,,yes,Berlin,,10409,,,,https://www.fressnapf.de/stores/fressnapf-berlin-ostseestrasse/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4315402,52.5511155,"Fressnapf, 5, Ostseestraße, Wohnstadt Carl Legien, Prenzlauer Berg, Pankow, Berlin, 10409, Deutschland",Pankow,Prenzlauer Berg,0301,11003003
POINT (13.5020466 52.5107073),,,,2025-09-06,,Hundeatelier Josephine,Mo-Fr 08:00-20:00,pet,268,Frankfurter Allee,,,Berlin,,10317,,,,https://www.hundeatelier-josephine.de/,,+49 30 5294186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5020466,52.5107073,"Hundeatelier Josephine, 268, Frankfurter Allee, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland",Lichtenberg,Rummelsburg,1112,11011011
POINT (13.31755 52.5078647),,,,2023-07-01,,Society Dog,Mo-Fr 12:00-19:00; Sa 11:00-16:00,pet,,,0,no,,,,,,,https://www.societydog.de/,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,indoor,,,,,,,,,,,,,,,,,13.31755,52.5078647,"Society Dog, Schlüterstraße, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10625, Deutschland",Charlottenburg-Wilmersdorf,Charlottenburg,0401,11004004
POINT (13.2933502 52.5904953),,,,,,Blori's Zoofachhandel,,pet,,,,,,,,,,,https://blori.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2933502,52.5904953,"Blori's Zoofachhandel, Gorkistraße, Kleinhaussiedlung am Steinberg, Tegel, Reinickendorf, Berlin, 13509, Deutschland",Reinickendorf,Tegel,1202,11012012
