name,street,housenumber,postcode,city,country,suburb,opening_hours,internet_access,wheelchair,phone,email,website,latitude,longitude
Design Offices,Alexanderufer,3-7,10117,Berlin,DE,Mitte,Mo-Fr 08:30-18:00,unknown,unknown,+49 30 726216250,berlin.humboldthafen@designoffices.de,https://www.designoffices.de/standorte/berlin-humboldthafen/,52.5239931,13.373505
Mandel Open Space,Nollendorfstraße,21a,10777,Berlin,DE,Schöneberg,unknown,unknown,unknown,unknown,unknown,unknown,52.4975921,13.3501157
Dugnad,Kienitzer Straße,16,12053,Berlin,DE,Neukölln,unknown,unknown,unknown,unknown,unknown,unknown,52.4773821,13.4361939
L19 Bürogemeinschaft,Lychener Straße,19,10437,Berlin,DE,Prenzlauer Berg,unknown,unknown,limited,unknown,unknown,unknown,52.5421791,13.4156019
Trust,Kluckstraße,25,10785,Berlin,unknown,Tiergarten,unknown,wlan,unknown,unknown,unknown,unknown,52.5029919,13.3615323
Boho Space,Bülowstraße,6,10783,Berlin,DE,Schöneberg,unknown,unknown,unknown,unknown,unknown,unknown,52.4987853,13.3561157
Fireworks,Stockholmer Straße,4,13359,Berlin,DE,Gesundbrunnen,24/7,yes,unknown,unknown,unknown,https://fireworkscoworking.wordpress.com/,52.5569465,13.3829524
everyworks Coworking,Europaplatz,2,10557,Berlin,unknown,Moabit,Mo-Fr 08:30-18:30,yes,unknown,unknown,everyworks@deutschebahn.com,unknown,52.5255465,13.3695814
Colonies,Paul-Robeson-Straße,,10439,Berlin,unknown,Prenzlauer Berg,unknown,unknown,unknown,unknown,unknown,unknown,52.5523168,13.4138173
Raum,Karl-Kunger-Straße,7,12435,Berlin,DE,Alt-Treptow,unknown,unknown,unknown,unknown,unknown,unknown,52.4920791,13.4456736
District One,Hauptstraße,151,10827,Berlin,unknown,Schöneberg,unknown,unknown,unknown,unknown,unknown,unknown,52.4882188,13.3586479
Studio Neuf,Gneisenaustraße,42,10961,Berlin,DE,Kreuzberg,unknown,unknown,unknown,unknown,unknown,unknown,52.4895444,13.4010469
WeWork,Friedrichstraße,76,10117,Berlin,unknown,Mitte,24/7,wlan,yes,unknown,unknown,unknown,52.5141245,13.3894807
Scaling Spaces Berlin,Schwedenstraße,9,13359,Berlin,unknown,Gesundbrunnen,unknown,unknown,unknown,unknown,unknown,unknown,52.5579706,13.3735077
Helix Hub,Invalidenstraße,113,10115,Berlin,unknown,Mitte,unknown,unknown,unknown,unknown,unknown,unknown,52.5306531,13.3839031
SpielundLern.de,Damaschkestraße,34,10711,Berlin,DE,Charlottenburg,Mo-Fr 09:00-17:00,unknown,no,unknown,unknown,unknown,52.5013588,13.2975362
AI Campus Berlin,Max-Urich-Straße,3,13355,Berlin,DE,Gesundbrunnen,24/7,wlan,yes,unknown,unknown,https://www.merantix-aicampus.com/,52.5394385,13.3838217
P3A coworking,Perleberger Straße,3A,10559,Berlin,unknown,Moabit,unknown,unknown,unknown,unknown,unknown,unknown,52.5354917,13.3561773
b+ office Coworking Space,Dudenstraße,10,10965,Berlin,DE,Kreuzberg,Mo-Fr 09:00-18:00,wlan,unknown,+49 30 3980994-0,unknown,https://bplusoffice.de/,52.4854344,13.3838886
Coworking Toddler,Greifenhagener Straße,48,10437,Berlin,DE,Prenzlauer Berg,unknown,unknown,yes,unknown,unknown,unknown,52.5486175,13.4160056
& Co,Hauptstraße,153,10827,Berlin,DE,Schöneberg,unknown,unknown,unknown,unknown,unknown,unknown,52.4885808,13.3589461
Plantage Bürogemeinschaft,Prinz-Eugen-Straße,29A,13347,Berlin,unknown,Wedding,"""nach Anwesenheit""",wlan,no,unknown,unknown,unknown,52.5466015,13.3663377
Spielhalle 2,Grunewaldstraße,81,10823,Berlin,DE,Schöneberg,unknown,unknown,unknown,unknown,unknown,https://www.spielhallezwei.berlin/,52.4898377,13.354489
CI Space,Bugenhagenstraße,9,10551,Berlin,unknown,Moabit,Mo-Sa 10:00-22:00,wlan,unknown,unknown,unknown,unknown,52.5280242,13.3417811
Tempelgehöft Co-Working,Tempelhofer Damm,152,12099,Berlin,unknown,Tempelhof,unknown,yes,yes,unknown,unknown,unknown,52.4648209,13.384876
WeWork,Dircksenstraße,3,10179,Berlin,unknown,Mitte,unknown,unknown,unknown,unknown,unknown,unknown,52.5165745,13.4170552
Mindspace Kurfürstendamm,Uhlandstraße,32,10719,Berlin,unknown,Charlottenburg,Mo-Fr 09:00-18:00,unknown,unknown,unknown,unknown,unknown,52.5004908,13.3247679
Dein Freiraum,Käthe-Niederkirchner-Straße,25,10407,Berlin,unknown,Prenzlauer Berg,unknown,unknown,unknown,unknown,unknown,unknown,52.5300167,13.4333096
WeWork,Rosenthaler Straße,43,10178,Berlin,unknown,Mitte,unknown,unknown,yes,unknown,unknown,unknown,52.5240425,13.4029404
WeWork,Warschauer Platz,11-13,10245,Berlin,DE,Friedrichshain,"Mo-Su,PH 09:00-18:00",unknown,unknown,unknown,unknown,unknown,52.5044523,13.4495322
Techspace,Köpenicker Straße,40B,10179,Berlin,unknown,Mitte,unknown,unknown,unknown,unknown,unknown,unknown,52.5091928,13.4255042
Velt.studio,Urbanstraße,71,10967,Berlin,unknown,Kreuzberg,unknown,wlan,unknown,unknown,unknown,unknown,52.4878454,13.4232894
Unicorn Workspaces Gendarmenmarkt,Französische Straße,24,10117,Berlin,unknown,Mitte,unknown,unknown,unknown,unknown,unknown,unknown,52.5146364,13.3904675
Das Arbeitszimmer,Westerlandstraße,,13189,Berlin,unknown,Pankow,unknown,unknown,unknown,unknown,unknown,unknown,52.5580996,13.4147115
Gesoworx,Langhansstraße,,13086,Berlin,unknown,Weißensee,unknown,unknown,unknown,unknown,unknown,unknown,52.5511393,13.4429771
Creon,Methfesselstraße,43,10965,Berlin,unknown,Kreuzberg,unknown,unknown,unknown,unknown,unknown,unknown,52.4859683,13.3837321
The Gate (TOR 201),Torstraße,201,10115,Berlin,DE,Mitte,unknown,unknown,unknown,unknown,unknown,unknown,52.5281159,13.3910714
Unicorn Workspaces,Gerichtstraße,,13347,Berlin,unknown,Wedding,unknown,unknown,unknown,unknown,unknown,unknown,52.5446418,13.3665649
St. Oberholz,Boxhagener Straße,18,10245,Berlin,unknown,Friedrichshain,24/7,unknown,unknown,unknown,unknown,unknown,52.5127959,13.4552451
Engelnest Coworking Space and Event Venue,Wilhelm-Kabus-Straße,22-24,10829,Berlin,unknown,Schöneberg,unknown,yes,unknown,unknown,unknown,unknown,52.4826871,13.3673876
w3.hub,Möckernstraße,,10963,Berlin,unknown,Kreuzberg,Mo-Fr 09:00-18:00,unknown,unknown,unknown,unknown,unknown,52.4980122,13.380209
werkhain,Frankfurter Allee,108,10247,Berlin,unknown,Friedrichshain,unknown,unknown,unknown,unknown,unknown,unknown,52.512941,13.4748102
CU.Office,Genter Straße,56,13353,Berlin,unknown,Wedding,unknown,unknown,unknown,unknown,unknown,unknown,52.5481408,13.3528978
werkhain,Frankfurter Allee,108,10247,Berlin,unknown,Friedrichshain,unknown,unknown,unknown,unknown,unknown,unknown,52.5128845884545,13.47479207558809
KAOS Halle,Wilhelminenhofstraße,,12459,Berlin,unknown,Oberschöneweide,unknown,unknown,unknown,unknown,unknown,unknown,52.462438214484244,13.509207565790492
HAUS  1,Oberlandstraße,25-36,12099,Berlin,unknown,Tempelhof,unknown,unknown,unknown,unknown,unknown,unknown,52.46438794759451,13.410746939971459
Coworking Holzmarkt,,43,10243,Berlin,DE,Friedrichshain,unknown,wlan,unknown,unknown,unknown,unknown,52.512511382822474,13.423889145179139
unknown,Scharnweberstraße,,10247,Berlin,unknown,Friedrichshain,unknown,unknown,unknown,unknown,unknown,unknown,52.512696193318384,13.474739798976056
werkhain,Frankfurter Allee,108,10247,Berlin,unknown,Friedrichshain,unknown,unknown,unknown,unknown,unknown,unknown,52.512781484073635,13.474764348196144
B-Part,Luckenwalder Straße,6b,10963,Berlin,DE,Kreuzberg,Mo-Fr 09:00-18:00,unknown,unknown,unknown,unknown,unknown,52.4990791408707,13.373377561693202
