clinic_name,address,district,neighborhood,services_offered,operating_days,operating_hours,contact_info,latitude,longitude,accessibility_features,data_source
Carsten Schiller,"Schnellerstraße 97, 12439.0 Berlin",Treptow-Köpenick,Niederschöneweide,,,"Mo,Tu 10:00-12:00,15:00-18:00; We 15:00-18:00; Th;Fr 10:00-12:00,15:00-18:00",,52.4531078,13.5245669,"wheelchair=no | Eine Stufe, schmale Tür zum Behandlungsraum","OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Dr. C. Lewandowski und Dr. S. Klug,nan,Neukölln,Buckow,,,,Website: https://www.lewandowski-klug.de/,52.4232758,13.4367554,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Gabriele C. Müller,"Brunowstraße 39, 13507.0 Berlin",Reinickendorf,Tegel,,,"Mo,Tu,Th,Fr 10:00-12:00,17:00-19:00, We 17:00-18:00, Sa 12:00-13:00",Phone: +49304343116 | Website: https://www.tieraerztin-berlin.com/,52.5870846,13.2811455,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Feuerbachstraße,"Feuerbachstraße 68, 12163.0 Berlin",Steglitz-Zehlendorf,Steglitz,,Mon–Sun,Mo-Su 09:00-12:00; Mo-Fr 16:00-20:00,Phone: +49 30 855 40 50,52.464411,13.3395319,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Kammbach,"Schweizer Tal 55, 13127.0 Berlin",Pankow,Französisch Buchholz,,,,Phone: +4930 47 48 12 20 | Website: https://www.tierarztpraxis-kammbach.de/,52.6074605,13.41982,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Velodrom,"Conrad-Blenkle-Straße 4, 10407.0 Berlin",Pankow,Prenzlauer Berg,,,"Mo,Th 12:00-19:00; Tu,Fr 09:00-15:00; We,Sa 09:00-12:00",Phone: +493042085005 | Website: http://www.tierarztpraxis-am-velodrom.de/,52.5281462,13.4501959,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dipl.-vet.-med. Jörg Porada,nan,Mitte,Mitte,,,,,52.5121271,13.4195273,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis,nan,Lichtenberg,Fennpfuhl,,,"Mo,Tu,Th,Fr 09:30-11:00,16:30-19:00; We 17:00-20:00; Sa 10:00-12:00",,52.5290099,13.4684992,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Bella brazil waxing studio,nan,Reinickendorf,Wittenau,,,,,52.5958722,13.3349653,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
DVM J. Rafael,nan,Pankow,Prenzlauer Berg,,,"Mo,We 09:00-12:00,15:00-19:00, Tu,Th 09:00-11:00,14:00-18:00, Fr 09:00-12:00, Sa 09:00-11:00",,52.5525185,13.4154857,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. König,nan,Charlottenburg-Wilmersdorf,Schmargendorf,,,"Mo-Sa 10:00-12:00; Mo,Tu,Th,Fr 16:00-18:00",,52.4789793,13.2848224,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Veterinary clinic - nan,nan,Charlottenburg-Wilmersdorf,Schmargendorf,,,,,52.478761,13.2825498,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Flidais,"Buschkrugallee 206, 12359.0 Berlin",Neukölln,Britz,,,,Website: https://www.flidais-vet.de,52.4463278,13.4543051,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Ullrich Mattke,"Gäblerstraße 5, 13086.0 Berlin",Pankow,Weißensee,,,"Mo-Th 09:00-12:00,15:00-19:00; Sa 10:00-12:00; Fr 09:00-12:00,15:00-17:00",,52.5536467,13.4483752,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
"Veterinary clinic - Bruno-Baum-Straße 75, 12685.0 Berlin","Bruno-Baum-Straße 75, 12685.0 Berlin",Marzahn-Hellersdorf,Marzahn,,,,,52.5355029,13.5426037,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis O.C. Lombardi,"Britzer Damm 13, 12347.0 Berlin",Neukölln,Britz,,,"Mo-Sa 10:00-12:00, Mo,Th 16:00-19:00, Tu,Fr 16:00-18:00",Phone: +49 30 6251547 | Website: https://www.lombardi-berlin.de/,52.4617945,13.4350014,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Naturheilpraxis Dr. Hanik,nan,Spandau,Staaken,,,,,52.5303117,13.1363236,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Tanja Lück,"Ernststraße 59, 13509.0 Berlin",Reinickendorf,Borsigwalde,,,"Mo-We 09:00-13:00,16:00-19:00; Th 15:00-20:00; Fr 09:00-13:00,16:00-19:00; PH off",Phone: +493043726783 | Website: https://www.tanja-lueck.de/,52.5838893,13.3006927,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarzt-Praxis Ralf Boxhammer,nan,Treptow-Köpenick,Köpenick,,,"Mo,We 09:00-12:00; Tu,Th,Fr 14:00-17:00; Sa,Su 11:00-13:00",,52.4544641,13.5780156,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Michael Voigt,"Ernststraße 9, 12437.0 Berlin",Treptow-Köpenick,Baumschulenweg,,,"Mo 09:00-12:00,15:00-18:00; Tu 13:00-18:00; We 09:00-12:00; Th 09:00-12:00,15:00-18:00; Fr 13:00-18:00",Phone: +49 30 532 9481 | Website: https://tierarzt-voigt.de/,52.465439,13.4889671,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
filu,"Olivaer Platz 15, 10707.0 Berlin",Charlottenburg-Wilmersdorf,Charlottenburg,,,,,52.4998738,13.3142714,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Bärenwiese/ Tiernotarzt Berlin,"Uhlandstraße 151, 10719.0 Berlin",Charlottenburg-Wilmersdorf,Wilmersdorf,,,"Mo 08:00-20:00; Tu-Fr 10:00-20:00; Sa,Su 10:00-13:00",Phone: +49 30 23362627 | Website: https://www.tierarzt-baerenwiese.de/,52.497396,13.3245464,wheelchair=limited,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Bundesplatz,"Detmolder Straße 3, 10715.0 Berlin",Charlottenburg-Wilmersdorf,Wilmersdorf,,,"Mo,Tu,Th,Fr 09:00-12:00,16:00-18:00; We 09:00-11:00; Sa 10:00-12:00",,52.4788705,13.3269233,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
"Dr. Demmler, Dr. Wehming","Wiener Straße 25, 10999.0 Berlin",Friedrichshain-Kreuzberg,Kreuzberg,,Mon–Fri,"Mo-Fr 10:00-12:00,16:00-19:00; Sa 10:00-12:00; Su 10:00-11:00",,52.4969564,13.4325994,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarzt Scheibner,"Dörpfeldstraße 46, 12489.0 Berlin",Treptow-Köpenick,Adlershof,,,"Mo-Sa 09:00-11:00; Mo,We 16:00-18:30; Tu 18:30-20:30; Fr 16:00-18:00; PH off  || ""Nach Vereinbarung""",Phone: +49 30 677 54 03 | Website: https://www.tierarzt-adlershof.de/,52.4380728,13.5481783,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Lietzenseepark,"Riehlstraße 3, 14057.0 Berlin",Charlottenburg-Wilmersdorf,Charlottenburg,,Mon–Fri,"Mo-Fr 09:00-12:00 16:00-19:00, Sa 11:00-13:00, Mo-Fr 12:00-16:00 ""nur mit Voranmeldung""",Phone: +49 30 3215058 | Email: mail@tierarztpraxis-am-lietzenseepark.de | Website: https://tierarztpraxis-am-lietzenseepark.de/,52.509309,13.2859209,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Dr. H. Brieger,nan,Steglitz-Zehlendorf,Zehlendorf,,,"Mo-We, Fr 09:30-11:00,16:00-19:00; Th 16:00-19:00; Sa 09:30-11:00",Phone: +49 30 8015852 | Website: https://www.dr-brieger.de,52.431227,13.2561565,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Esther Bartels,nan,Charlottenburg-Wilmersdorf,Charlottenburg,,,,,52.503473,13.3067983,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Dr. Veit-Uwe Stuhrberg,"Bernulfstraße 43-45, 12524.0 Berlin",Treptow-Köpenick,Altglienicke,,,"Mo,Tu,Th,Fr 09:00-11:00,16:00-19:00; We 09:00-11:00; Sa 09:00-11:00",Phone: +49 30 6723384 | Website: https://www.tierarztpraxis-altglienicke.de/,52.4127843,13.541714,wheelchair=no | Grössere Treppe (abwärts) zum Eingang,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. med. vet. Ulrich Bemm,"Krummenseer Straße 10, 12685.0 Berlin",Marzahn-Hellersdorf,Marzahn,,,"Mo 13:00-18:00, Tu 10:00-15:00; We 10:00-15:00; Th 13:00-18:00; Fr 10:00-15:00",Phone: +49 30 54378250 | Website: https://www.tierarzt-bemm.de/,52.541678,13.5721215,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Vesmes,"Blumberger Damm 158, 12685.0 Berlin",Marzahn-Hellersdorf,Marzahn,,,"Mo 09:00-12:00, 16:00-20:00; Tu 09:00-12:00, 16:00-20:00; We 16:00-20:00; Th 09:00-12:00, 16:00-20:00; Fr 09:00-12:00, 16:00-20:00",Phone: +49309340440 | Email: info@tierarztpraxis-vesmes.de | Website: https://www.tierarztpraxis-vesmes.de,52.54542,13.5719026,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Veterinary clinic - nan,nan,Spandau,Spandau,,,,,52.5477287,13.2022574,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Flick,nan,Steglitz-Zehlendorf,Lichterfelde,,,Mo-Sa 17:00-19:00,,52.4178034,13.3061609,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. Wolfgang Hoffmann,nan,Mitte,Moabit,,Mon–Fri,"Mo-Fr 10:00-12:00,15:00-18:00",,52.5286363,13.3412782,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Kleintierpraxis Dr. Jana Pohlenz,"Sabinensteig 15, 13053.0 Berlin",Lichtenberg,Alt-Hohenschönhausen,,,,Website: http://www.kleintierpraxis-pohlenz.de,52.5490713,13.4937991,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarzt Dr. Niels Lösch,"Am Faulen See 54, 13053.0 Berlin",Lichtenberg,Alt-Hohenschönhausen,,,,,52.5535045,13.49705,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Praxis im Märchenviertel,nan,Treptow-Köpenick,Köpenick,,,"Mo 14:00-18:00, Tu,Th 09:00-12:00, We 15:00-19:00; PH off",Phone: +49 30 6574725 | Email: tierarzt@tierpraxis-rudelt.de | Website: http://www.tierpraxis-rudelt.de/,52.4617784,13.5859364,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Medivet Berlin Pankow,"Pasewalker Straße 25, 13127.0 Berlin",Pankow,Französisch Buchholz,,Mon–Fri,Mo-Fr 09:00-19:00; Sa 09:00-16:00; Su 11:00-13:00,Phone: +49 30 47469232 | Website: https://www.medivetgroup.com/de-de/tierarzt/berlin-pankow,52.5883891,13.429743,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Tempelhof,nan,Tempelhof-Schöneberg,Mariendorf,,,,,52.4478307,13.3865847,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. med. vet. Jeanette Sagawe,"Steglitzer Damm 30, 12169.0 Berlin",Steglitz-Zehlendorf,Steglitz,,Mon–Fri,"Mo-Fr 09:00-13:00,16:00-20:00; Sa 10:00-16:00",Phone: +49 30 7951435 | Email: info@tieraerzte-steglitz.de | Website: https://www.tieraerzte-steglitz.de,52.4505337,13.3410324,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Bania,"Kremnitzufer 2, nan",Steglitz-Zehlendorf,Wannsee,,,,Phone: +49308051172,52.396095,13.161149,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Dr. Koch,"Lichtenrader Damm 39, 12305.0 Berlin",Tempelhof-Schöneberg,Lichtenrade,,,"Mo,We,Fr 09:00-14:00; Tu,Th 15:00-20:00",Phone: +49 30 67 03 76 57 | Email: koch@tierarztpraxis-koch.de | Website: http://www.tierarztpraxis-koch.de/,52.4107877,13.403669,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierärzliche Praxis am Lützowufer,"Lützowufer 26, 10787.0 Berlin",Mitte,Tiergarten,,,,,52.5061832,13.3494203,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Kleintierpraxis in der Torstraße,nan,Mitte,Mitte,,,,,52.5288283,13.4082068,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Praxis Tierzuliebe,"Edisonstraße 63, 12459.0 Berlin",Treptow-Köpenick,Oberschöneweide,,,"Mo,Tu,Th,Fr 10:00-18:00; Sa 10:00-14:00; Su 11:00-13:00",Phone: +49 30 535 38 00 | Website: https://tierarztinberlin.de/,52.4614933,13.5131144,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dirk Trimpe,"Bahnhofstraße 3, 12159.0 Berlin",Tempelhof-Schöneberg,Schöneberg,,,"Mo-Sa 10:00-12:30, Mo,Tu,Th,Fr 17:00-19:00",Phone: +49 30 8521920 | Website: http://www.tierarztpraxis-trimpe.de/,52.4699319,13.3395083,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Andrea Reich,"Holländerstraße 95, 13407.0 Berlin",Mitte,Wedding,,,"Mo 10:00-18:00; Th,Fr 10:00-16:00; Tu 10:00-14:00; We 14:00-18:00",Phone: +49304557051 | Website: https://www.tierarztpraxis-reinickendorf.de/,52.561957,13.353401,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis,nan,Reinickendorf,Tegel,,,"Mo,We,Th 09:30-13:00; Tu,Fr 15:00-19:00; Sa 09:00-11:00",Phone: +49 30 40534618,52.5769899,13.2792318,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Südkreuz,"Gustav-Müller-Straße 19, 10829.0 Berlin",Tempelhof-Schöneberg,Schöneberg,,Mon–Fri,"Mo-Fr 10:00-12:00, Mo,We 16:00-19:00, Tu,Th,Fr 16:00-18:00",Website: https://www.tierarztpraxis-am-suedkreuz.de/,52.4807694,13.3623013,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis an den Allee-Arcaden,"Greifenhagener Straße 45, 10437.0 Berlin",Pankow,Prenzlauer Berg,,,"Mo,Tu,Th 09:00-12:00,16:00-18:00; Fr 09:00-12:00",Phone: +49 30 30361381 | Website: https://www.tierarztpraxis-allee-arcaden.de/,52.5496022,13.4168501,wheelchair=limited | Mobile Rampe vorhanden; bei Bedarf klingeln,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Dr. med. vet. Gerald Schmid,"Eisenacher Straße 40, 10781.0 Berlin",Tempelhof-Schöneberg,Schöneberg,,,"Mo-We,Fr 10:00-14:00; Th 15:00-18:00",Phone: +49 30 211 17 79 | Website: http://doctor-dolittle.de,52.4897742,13.3488645,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarzt Dr. Ferencz,"Elberfelder Straße 3, 10555.0 Berlin",Mitte,Moabit,,,"""'Weiter Terminsprechstunde. Bitte rufen Sie an 030-3988 9278'""",Website: http://www.tierarztpraxis-moabit.de,52.5241824,13.3359576,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Tierlieb,"Preußenallee 40, 14052.0 Berlin",Charlottenburg-Wilmersdorf,Westend,,Mon–Fri,"Mo-Fr 09:00-13:00, Mo,Tu,Th 14:00-18:00; Sa 09:30-11:00",,52.5154998,13.2608183,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Nollendorfplatz,"Nollendorfstraße 20, 10777.0 Berlin",Tempelhof-Schöneberg,Schöneberg,,,"Mo-Tu 10:00-12:00,17:00-19:00; We 17:00-19:00; Th 10:00-12:00,16:00-18:00; Fr 10:00-14:00; Sa ""by appointment""",Phone: +49 30 2167711 | Website: http://hund-katze-vogel.de/,52.4976524,13.3504475,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Tobias Krause,nan,Steglitz-Zehlendorf,Steglitz,,Mon–Fri,"Mo-Fr 09:30-12:00,16:30-19:00; Sa 10:00-12:00",Phone: +49 30 91443116 | Email: tierarzt@ta-krause.de | Website: http://www.ta-krause.de,52.4459974,13.3307775,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierheilpraxis Kreuzberg,"Warschauer Straße 29, 10243.0 Berlin",Friedrichshain-Kreuzberg,Friedrichshain,,,"Mo,We,Fr 11:00-17:00; Tu,Th 14:00-20:00",,52.5097882,13.4509749,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Katharina Andreas,"Hampsteadstraße 7, 14167.0 Berlin",Steglitz-Zehlendorf,Zehlendorf,,,,,52.433136,13.2749799,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis am Wildrosengehölz,"Hönower Straße 263, nan Berlin",Marzahn-Hellersdorf,Mahlsdorf,,,"Mo-Sa 08-20, So (Notfall) 10-16",Phone: +49 30 99285501 | Email: info@tierarztpraxis-mahlsdorf.de | Website: https://www.tierarztpraxis-mahlsdorf.de/,52.5278578,13.6243765,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Dr. med. vet. Susann Zimmer,"Weerthstraße 10, 12489.0 Berlin",Treptow-Köpenick,Adlershof,,,"Mo 10:00-12:00,16:00-18:00, Tu 10:00-12:00,16:00-19:00, We 10:00-12:00, Th 16:00-19:00, Fr 10:00-12:00,16:00-18:00; PH off",Phone: +49 30 67 132 67,52.4346817,13.544154,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierpraxis Dr. Gerriets,"Morgensternstraße 16, 12207.0 Berlin",Steglitz-Zehlendorf,Lichterfelde,,,"Mo 10:00-13:00,17:00-19:00; Tu 10:00-12:00; We 17:00-19:00; Th 10:00-12:00; Fr 10:00-12:00",Phone: +49 30 7724027 | Website: https://www.tierpraxis-drgerriets.de/,52.4259329,13.3186185,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Dr. med. vet. Joachim Kirchner,"Florastraße 43, 13187.0 Berlin",Pankow,Pankow,,Mon–Fri,"Mo-Fr 14:00-18:00; Tu,Th 09:00-12:00,14:00-18:00",Phone: +49 30 49 50 09 49 | Email: info@tierarzt-in-pankow.de | Website: http://www.tierarzt-in-pankow.de/,52.5661672,13.4090789,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Am Westend,nan,Charlottenburg-Wilmersdorf,Charlottenburg,,,"Mo,Tu,Th,Fr 10:00-13:00,17:00-19:00; We,Sa 10:00-13:00",Phone: +4930 3228 247 | Email: info@tierarztamwestend.de | Website: https://www.tierarztamwestend.de/,52.5179456,13.2866144,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Alexandra Sypitzki,"Sesenheimer Straße 15, 10627.0 Berlin",Charlottenburg-Wilmersdorf,Charlottenburg,,Mon–Fri,Mo-Fr 08:30+,Phone: +49 30 78957110 | Website: https://www.tierarztpraxis-sypitzki.de/,52.5105206,13.3075345,wheelchair=no,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tierarztpraxis Dr. Dorothea Werning,"Lindenthaler Allee 6, 14163.0 Berlin",Steglitz-Zehlendorf,Zehlendorf,,,"Mo, Tu, Th 10:00-13:00, 17:00-19:00; We 10:00-13:00, 17:00-20:00; Fr 10:00-17:00",Phone: +49 30 8025009 | Website: https://www.tierarztpraxis-mexikoplatz.de/de/index.html,52.4358777,13.2310121,,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
Tiergesundheitszentrum,nan,Lichtenberg,Friedrichsfelde,,Mon–Fri,"Mo-Sa 10:00-12:00, Mo-Fr 15:00-19:00, Sa 10:00-12:00; PH off",,52.4981659,13.5208894,wheelchair=yes,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09 (Overpass)"
