id,@id,name,addr:street,addr:housenumber,addr:postcode,addr:city,phone,contact:phone,website,contact:website,email,contact:email,opening_hours,operator,lor_id,district_name,neighborhood_name,lat,lon
node/394867279,node/394867279,Tierarztpraxis Jeanette Koepsel,,,,,,,,,,,,,re_ortsteil.0503,Spandau,Siemensstadt,52.5351995,13.2705734
node/411550894,node/411550894,Kleintierarztpraxis Berlin Kaulsdorf,Planitzstraße,19,12621,Berlin,+49 30 53018585,,https://www.tierarzt-kaulsdorf.de/,,info@tierarzt-kaulsdorf.de,,"Mo-Fr 09:00-19:00 open ""tel. Terminvereinbarung erforderlich"", week 01-53/2 Sa 09:00-12:00 open ""tel. Terminvereinbarung erforderlich""; Dec 23-26 off; Dec 31-Jan 02 off; PH off",Dr. Berit Miels;Dr. Mathias Kochert,re_ortsteil.1003,Marzahn-Hellersdorf,Kaulsdorf,52.5095114,13.5896353
node/581887970,node/581887970,Eva Klein,,,,,,,,,,,,,re_ortsteil.0606,Steglitz-Zehlendorf,Nikolassee,52.4288173,13.1935291
node/603392630,node/603392630,Klein- und Heimtierklinik,Oertzenweg,19b,14163,Berlin,,,https://www.vetmed.fu-berlin.de/einrichtungen/kliniken/we20/index.html,,,,"Mo-Fr 09:00-13:00,14:00-16:00",Freie Universität Berlin,re_ortsteil.0604,Steglitz-Zehlendorf,Zehlendorf,52.4302981,13.2373596
node/702363921,node/702363921,Tierarztpraxis im Frauenviertel - Firchow,,,,,,,,,,,"Mo-Fr 10:00-12:00, Mo,Tu,Th 17:00-19:00, Fr 16:00-18:00",,re_ortsteil.0804,Neukölln,Rudow,52.4042597,13.5071658
node/703135335,node/703135335,Kleintierpraxis Kladow,Zingerleweg,29,14089,Berlin,,+49 30 3653374,,http://www.kleintierpraxis-kladow.de,,info@kleintierpraxis-kladow.de,,,re_ortsteil.0506,Spandau,Kladow,52.4608878,13.121554
node/978560965,node/978560965,Carsten Schiller,Schnellerstraße,97,12439,Berlin,,,,,,,"Mo,Tu 10:00-12:00,15:00-18:00; We 15:00-18:00; Th;Fr 10:00-12:00,15:00-18:00",,re_ortsteil.0905,Treptow-Köpenick,Niederschöneweide,52.4531078,13.5245669
node/1003123264,node/1003123264,Tierarztpraxis Dr. C. Lewandowski und Dr. S. Klug,,,,,,,https://www.lewandowski-klug.de/,,,,,,re_ortsteil.0803,Neukölln,Buckow,52.4232758,13.4367554
node/1069431810,node/1069431810,Gabriele C. Müller,Brunowstraße,39,13507,Berlin,+49304343116,,https://www.tieraerztin-berlin.com/,,,,"Mo,Tu,Th,Fr 10:00-12:00,17:00-19:00, We 17:00-18:00, Sa 12:00-13:00",,re_ortsteil.1202,Reinickendorf,Tegel,52.5870846,13.2811455
node/1139485719,node/1139485719,Tierarztpraxis Feuerbachstraße,Feuerbachstraße,68,12163,Berlin,+49 30 855 40 50,,,,,,Mo-Su 09:00-12:00; Mo-Fr 16:00-20:00,Dr. med. vet. A. Sillinger;Dr. med. vet. A. Bahr,re_ortsteil.0601,Steglitz-Zehlendorf,Steglitz,52.464411,13.3395319
node/1158920335,node/1158920335,Tierarztpraxis Kammbach,Schweizer Tal,55,13127,Berlin,+4930 47 48 12 20,,https://www.tierarztpraxis-kammbach.de/,,,,,,re_ortsteil.0310,Pankow,Französisch Buchholz,52.6074605,13.41982
node/1169112227,node/1169112227,Tierarztpraxis am Velodrom,Conrad-Blenkle-Straße,4,10407,Berlin,,+493042085005,,http://www.tierarztpraxis-am-velodrom.de/,,,"Mo,Th 12:00-19:00; Tu,Fr 09:00-15:00; We,Sa 09:00-12:00",,re_ortsteil.0301,Pankow,Prenzlauer Berg,52.5281462,13.4501959
node/1244610778,node/1244610778,Dipl.-vet.-med. Jörg Porada,,,,,,,,,,,,,re_ortsteil.0101,Mitte,Mitte,52.5121271,13.4195273
node/1247761224,node/1247761224,Tierarztpraxis,,,,,,,,,,,"Mo,Tu,Th,Fr 09:30-11:00,16:30-19:00; We 17:00-20:00; Sa 10:00-12:00",,re_ortsteil.1111,Lichtenberg,Fennpfuhl,52.5290099,13.4684992
node/1309566310,node/1309566310,Bella brazil waxing studio,,,,,,,,,,,,,re_ortsteil.1209,Reinickendorf,Wittenau,52.5958722,13.3349653
node/1352697273,node/1352697273,DVM J. Rafael,,,,,,,,,,,"Mo,We 09:00-12:00,15:00-19:00, Tu,Th 09:00-11:00,14:00-18:00, Fr 09:00-12:00, Sa 09:00-11:00",,re_ortsteil.0301,Pankow,Prenzlauer Berg,52.5525185,13.4154857
node/1387989062,node/1387989062,Dr. König,,,,,,,,,,,"Mo-Sa 10:00-12:00; Mo,Tu,Th,Fr 16:00-18:00",,re_ortsteil.0403,Charlottenburg-Wilmersdorf,Schmargendorf,52.4789793,13.2848224
node/1431365727,node/1431365727,,,,,,,,,,,,,,re_ortsteil.0403,Charlottenburg-Wilmersdorf,Schmargendorf,52.478761,13.2825498
node/1444862410,node/1444862410,Flidais,Buschkrugallee,206,12359,Berlin,,,https://www.flidais-vet.de,,,,,,re_ortsteil.0802,Neukölln,Britz,52.4463278,13.4543051
node/1464419364,node/1464419364,Ullrich Mattke,Gäblerstraße,5,13086,Berlin,,,,,,,"Mo-Th 09:00-12:00,15:00-19:00; Sa 10:00-12:00; Fr 09:00-12:00,15:00-17:00",,re_ortsteil.0302,Pankow,Weißensee,52.5536467,13.4483752
node/1492682203,node/1492682203,,Bruno-Baum-Straße,75,12685,Berlin,,,,,,,,,re_ortsteil.1001,Marzahn-Hellersdorf,Marzahn,52.5355029,13.5426037
node/1504191018,node/1504191018,Tierarztpraxis O.C. Lombardi,Britzer Damm,13,12347,Berlin,+49 30 6251547,,https://www.lombardi-berlin.de/,,,,"Mo-Sa 10:00-12:00, Mo,Th 16:00-19:00, Tu,Fr 16:00-18:00",,re_ortsteil.0802,Neukölln,Britz,52.4617945,13.4350014
node/1607627062,node/1607627062,Naturheilpraxis Dr. Hanik,,,,,,,,,,,,,re_ortsteil.0504,Spandau,Staaken,52.5303117,13.1363236
node/1766858344,node/1766858344,Tierarztpraxis Tanja Lück,Ernststraße,59,13509,Berlin,+493043726783,,https://www.tanja-lueck.de/,,,,"Mo-We 09:00-13:00,16:00-19:00; Th 15:00-20:00; Fr 09:00-13:00,16:00-19:00; PH off",,re_ortsteil.1211,Reinickendorf,Borsigwalde,52.5838893,13.3006927
node/1791397445,node/1791397445,Tierarzt-Praxis Ralf Boxhammer,,,,,,,,,,,"Mo,We 09:00-12:00; Tu,Th,Fr 14:00-17:00; Sa,Su 11:00-13:00",,re_ortsteil.0910,Treptow-Köpenick,Köpenick,52.4544641,13.5780156
node/1832317052,node/1832317052,Tierarztpraxis Michael Voigt,Ernststraße,9,12437,Berlin,+49 30 532 9481,,https://tierarzt-voigt.de/,,,,"Mo 09:00-12:00,15:00-18:00; Tu 13:00-18:00; We 09:00-12:00; Th 09:00-12:00,15:00-18:00; Fr 13:00-18:00",,re_ortsteil.0903,Treptow-Köpenick,Baumschulenweg,52.465439,13.4889671
node/1882067156,node/1882067156,filu,Olivaer Platz,15,10707,Berlin,,,,,,,,,re_ortsteil.0401,Charlottenburg-Wilmersdorf,Charlottenburg,52.4998738,13.3142714
node/1905963733,node/1905963733,Tierarztpraxis Bärenwiese/ Tiernotarzt Berlin,Uhlandstraße,151,10719,Berlin,,+49 30 23362627,,https://www.tierarzt-baerenwiese.de/,,,"Mo 08:00-20:00; Tu-Fr 10:00-20:00; Sa,Su 10:00-13:00",,re_ortsteil.0402,Charlottenburg-Wilmersdorf,Wilmersdorf,52.497396,13.3245464
node/1914085674,node/1914085674,Tierarztpraxis am Bundesplatz,Detmolder Straße,3,10715,Berlin,,,,,,,"Mo,Tu,Th,Fr 09:00-12:00,16:00-18:00; We 09:00-11:00; Sa 10:00-12:00",,re_ortsteil.0402,Charlottenburg-Wilmersdorf,Wilmersdorf,52.4788705,13.3269233
node/1965863459,node/1965863459,"Dr. Demmler, Dr. Wehming",Wiener Straße,25,10999,Berlin,,,,,,,"Mo-Fr 10:00-12:00,16:00-19:00; Sa 10:00-12:00; Su 10:00-11:00",,re_ortsteil.0202,Friedrichshain-Kreuzberg,Kreuzberg,52.4969564,13.4325994
node/1978736705,node/1978736705,Tierarzt Scheibner,Dörpfeldstraße,46,12489,Berlin,+49 30 677 54 03,,https://www.tierarzt-adlershof.de/,,,,"Mo-Sa 09:00-11:00; Mo,We 16:00-18:30; Tu 18:30-20:30; Fr 16:00-18:00; PH off  || ""Nach Vereinbarung""",,re_ortsteil.0907,Treptow-Köpenick,Adlershof,52.4380728,13.5481783
node/2000251280,node/2000251280,Tierarztpraxis am Lietzenseepark,Riehlstraße,3,14057,Berlin,+49 30 3215058,,https://tierarztpraxis-am-lietzenseepark.de/,,mail@tierarztpraxis-am-lietzenseepark.de,,"Mo-Fr 09:00-12:00 16:00-19:00, Sa 11:00-13:00, Mo-Fr 12:00-16:00 ""nur mit Voranmeldung""",Tierarztpraxis am Lietzenseepark GmbH,re_ortsteil.0401,Charlottenburg-Wilmersdorf,Charlottenburg,52.509309,13.2859209
node/2018939619,node/2018939619,Tierarztpraxis Dr. H. Brieger,,,,,,+49 30 8015852,,https://www.dr-brieger.de,,,"Mo-We, Fr 09:30-11:00,16:00-19:00; Th 16:00-19:00; Sa 09:30-11:00",,re_ortsteil.0604,Steglitz-Zehlendorf,Zehlendorf,52.431227,13.2561565
node/2021286582,node/2021286582,Esther Bartels,,,,,,,,,,,,,re_ortsteil.0401,Charlottenburg-Wilmersdorf,Charlottenburg,52.503473,13.3067983
node/2099577566,node/2099577566,Tierarztpraxis Dr. Veit-Uwe Stuhrberg,Bernulfstraße,43-45,12524,Berlin,+49 30 6723384,,https://www.tierarztpraxis-altglienicke.de/,,,,"Mo,Tu,Th,Fr 09:00-11:00,16:00-19:00; We 09:00-11:00; Sa 09:00-11:00",,re_ortsteil.0906,Treptow-Köpenick,Altglienicke,52.4127843,13.541714
node/2132599964,node/2132599964,Dr. med. vet. Ulrich Bemm,Krummenseer Straße,10,12685,Berlin,+49 30 54378250,,https://www.tierarzt-bemm.de/,,,,"Mo 13:00-18:00, Tu 10:00-15:00; We 10:00-15:00; Th 13:00-18:00; Fr 10:00-15:00",,re_ortsteil.1001,Marzahn-Hellersdorf,Marzahn,52.541678,13.5721215
node/2136188609,node/2136188609,Tierarztpraxis Vesmes,Blumberger Damm,158,12685,Berlin,+49309340440,,https://www.tierarztpraxis-vesmes.de,,info@tierarztpraxis-vesmes.de,,"Mo 09:00-12:00, 16:00-20:00; Tu 09:00-12:00, 16:00-20:00; We 16:00-20:00; Th 09:00-12:00, 16:00-20:00; Fr 09:00-12:00, 16:00-20:00",Joel Vesmes,re_ortsteil.1001,Marzahn-Hellersdorf,Marzahn,52.54542,13.5719026
node/2303053618,node/2303053618,,,,,,,,,,,,,,re_ortsteil.0501,Spandau,Spandau,52.5477287,13.2022574
node/2332698000,node/2332698000,Flick,,,,,,,,,,,Mo-Sa 17:00-19:00,,re_ortsteil.0602,Steglitz-Zehlendorf,Lichterfelde,52.4178034,13.3061609
node/2420872095,node/2420872095,Dr. Wolfgang Hoffmann,,,,,,,,,,,"Mo-Fr 10:00-12:00,15:00-18:00",,re_ortsteil.0102,Mitte,Moabit,52.5286363,13.3412782
node/2444304869,node/2444304869,Kleintierpraxis Dr. Jana Pohlenz,Sabinensteig,15,13053,Berlin,,,http://www.kleintierpraxis-pohlenz.de,,,,,,re_ortsteil.1110,Lichtenberg,Alt-Hohenschönhausen,52.5490713,13.4937991
node/2444308316,node/2444308316,Tierarzt Dr. Niels Lösch,Am Faulen See,54,13053,Berlin,,,,,,,,,re_ortsteil.1110,Lichtenberg,Alt-Hohenschönhausen,52.5535045,13.49705
node/2509134926,node/2509134926,Praxis im Märchenviertel,,,,,+49 30 6574725,,http://www.tierpraxis-rudelt.de/,,tierarzt@tierpraxis-rudelt.de,,"Mo 14:00-18:00, Tu,Th 09:00-12:00, We 15:00-19:00; PH off",Anette Rudelt,re_ortsteil.0910,Treptow-Köpenick,Köpenick,52.4617784,13.5859364
node/2525117416,node/2525117416,Medivet Berlin Pankow,Pasewalker Straße,25,13127,Berlin,+49 30 47469232,,https://www.medivetgroup.com/de-de/tierarzt/berlin-pankow,,,,Mo-Fr 09:00-19:00; Sa 09:00-16:00; Su 11:00-13:00,,re_ortsteil.0310,Pankow,Französisch Buchholz,52.5883891,13.429743
node/2674384521,node/2674384521,Tierarztpraxis Tempelhof,,,,,,,,,,,,,re_ortsteil.0704,Tempelhof-Schöneberg,Mariendorf,52.4478307,13.3865847
node/2746780787,node/2746780787,Dr. med. vet. Jeanette Sagawe,Steglitzer Damm,30,12169,Berlin,+49 30 7951435,,https://www.tieraerzte-steglitz.de,,info@tieraerzte-steglitz.de,,"Mo-Fr 09:00-13:00,16:00-20:00; Sa 10:00-16:00",,re_ortsteil.0601,Steglitz-Zehlendorf,Steglitz,52.4505337,13.3410324
node/2952593533,node/2952593533,Bania,Kremnitzufer,2,,,+49308051172,,,,,,,,re_ortsteil.0607,Steglitz-Zehlendorf,Wannsee,52.396095,13.161149
node/3065368552,node/3065368552,Tierarztpraxis Dr. Koch,Lichtenrader Damm,39,12305,Berlin,+49 30 67 03 76 57,,http://www.tierarztpraxis-koch.de/,,koch@tierarztpraxis-koch.de,,"Mo,We,Fr 09:00-14:00; Tu,Th 15:00-20:00",Dr. Christian Koch,re_ortsteil.0706,Tempelhof-Schöneberg,Lichtenrade,52.4107877,13.403669
node/3080776284,node/3080776284,Tierärzliche Praxis am Lützowufer,Lützowufer,26,10787,Berlin,,,,,,,,,re_ortsteil.0104,Mitte,Tiergarten,52.5061832,13.3494203
node/3098125229,node/3098125229,Kleintierpraxis in der Torstraße,,,,,,,,,,,,,re_ortsteil.0101,Mitte,Mitte,52.5288283,13.4082068
node/3133634694,node/3133634694,Praxis Tierzuliebe,Edisonstraße,63,12459,Berlin,+49 30 535 38 00,,https://tierarztinberlin.de/,,,,"Mo,Tu,Th,Fr 10:00-18:00; Sa 10:00-14:00; Su 11:00-13:00",Miriam Bertram,re_ortsteil.0909,Treptow-Köpenick,Oberschöneweide,52.4614933,13.5131144
node/3178164316,node/3178164316,Dirk Trimpe,Bahnhofstraße,3,12159,Berlin,+49 30 8521920,,http://www.tierarztpraxis-trimpe.de/,,,,"Mo-Sa 10:00-12:30, Mo,Tu,Th,Fr 17:00-19:00",,re_ortsteil.0701,Tempelhof-Schöneberg,Schöneberg,52.4699319,13.3395083
node/3284006061,node/3284006061,Tierarztpraxis Andrea Reich,Holländerstraße,95,13407,Berlin,+49304557051,,https://www.tierarztpraxis-reinickendorf.de/,,,,"Mo 10:00-18:00; Th,Fr 10:00-16:00; Tu 10:00-14:00; We 14:00-18:00",Andrea Reich,re_ortsteil.0105,Mitte,Wedding,52.561957,13.353401
node/3393786475,node/3393786475,Tierarztpraxis,,,,,+49 30 40534618,,,,,,"Mo,We,Th 09:30-13:00; Tu,Fr 15:00-19:00; Sa 09:00-11:00",,re_ortsteil.1202,Reinickendorf,Tegel,52.5769899,13.2792318
node/3444597275,node/3444597275,Tierarztpraxis am Südkreuz,Gustav-Müller-Straße,19,10829,Berlin,,,https://www.tierarztpraxis-am-suedkreuz.de/,,,,"Mo-Fr 10:00-12:00, Mo,We 16:00-19:00, Tu,Th,Fr 16:00-18:00",,re_ortsteil.0701,Tempelhof-Schöneberg,Schöneberg,52.4807694,13.3623013
node/3649210316,node/3649210316,Tierarztpraxis an den Allee-Arcaden,Greifenhagener Straße,45,10437,Berlin,,+49 30 30361381,https://www.tierarztpraxis-allee-arcaden.de/,,,,"Mo,Tu,Th 09:00-12:00,16:00-18:00; Fr 09:00-12:00",Anne Gamalski,re_ortsteil.0301,Pankow,Prenzlauer Berg,52.5496022,13.4168501
node/3694035418,node/3694035418,Tierarztpraxis Dr. med. vet. Gerald Schmid,Eisenacher Straße,40,10781,Berlin,+49 30 211 17 79,,http://doctor-dolittle.de,,,,"Mo-We,Fr 10:00-14:00; Th 15:00-18:00",Dr. med. vet. Gerald Schmid,re_ortsteil.0701,Tempelhof-Schöneberg,Schöneberg,52.4897742,13.3488645
node/3754655246,node/3754655246,Tierarzt Dr. Ferencz,Elberfelder Straße,3,10555,Berlin,,,http://www.tierarztpraxis-moabit.de,,,,"""'Weiter Terminsprechstunde. Bitte rufen Sie an 030-3988 9278'""",,re_ortsteil.0102,Mitte,Moabit,52.5241824,13.3359576
node/3786067403,node/3786067403,Tierarztpraxis Tierlieb,Preußenallee,40,14052,Berlin,,,,,,,"Mo-Fr 09:00-13:00, Mo,Tu,Th 14:00-18:00; Sa 09:30-11:00",Frau Annette Oehler,re_ortsteil.0405,Charlottenburg-Wilmersdorf,Westend,52.5154998,13.2608183
node/3826013974,node/3826013974,Tierarztpraxis am Nollendorfplatz,Nollendorfstraße,20,10777,Berlin,,+49 30 2167711,,http://hund-katze-vogel.de/,,,"Mo-Tu 10:00-12:00,17:00-19:00; We 17:00-19:00; Th 10:00-12:00,16:00-18:00; Fr 10:00-14:00; Sa ""by appointment""",Dr. Petra Birkefeld & Dr. Elisabeth Nolte,re_ortsteil.0701,Tempelhof-Schöneberg,Schöneberg,52.4976524,13.3504475
node/3905732054,node/3905732054,Tierarztpraxis Tobias Krause,,,,,,+49 30 91443116,,http://www.ta-krause.de,,tierarzt@ta-krause.de,"Mo-Fr 09:30-12:00,16:30-19:00; Sa 10:00-12:00",,re_ortsteil.0601,Steglitz-Zehlendorf,Steglitz,52.4459974,13.3307775
node/3906998156,node/3906998156,Tierheilpraxis Kreuzberg,Warschauer Straße,29,10243,Berlin,,,,,,,"Mo,We,Fr 11:00-17:00; Tu,Th 14:00-20:00",,re_ortsteil.0201,Friedrichshain-Kreuzberg,Friedrichshain,52.5097882,13.4509749
node/3911381119,node/3911381119,Katharina Andreas,Hampsteadstraße,7,14167,Berlin,,,,,,,,,re_ortsteil.0604,Steglitz-Zehlendorf,Zehlendorf,52.433136,13.2749799
node/4014948628,node/4014948628,Tierarztpraxis am Wildrosengehölz,Hönower Straße,263,,Berlin,+49 30 99285501,,https://www.tierarztpraxis-mahlsdorf.de/,,info@tierarztpraxis-mahlsdorf.de,,"Mo-Sa 08-20, So (Notfall) 10-16",,re_ortsteil.1004,Marzahn-Hellersdorf,Mahlsdorf,52.5278578,13.6243765
node/4080579671,node/4080579671,Dr. med. vet. Susann Zimmer,Weerthstraße,10,12489,Berlin,+49 30 67 132 67,,,,,,"Mo 10:00-12:00,16:00-18:00, Tu 10:00-12:00,16:00-19:00, We 10:00-12:00, Th 16:00-19:00, Fr 10:00-12:00,16:00-18:00; PH off",,re_ortsteil.0907,Treptow-Köpenick,Adlershof,52.4346817,13.544154
node/4137973040,node/4137973040,Tierpraxis Dr. Gerriets,Morgensternstraße,16,12207,Berlin,+49 30 7724027,,https://www.tierpraxis-drgerriets.de/,,,,"Mo 10:00-13:00,17:00-19:00; Tu 10:00-12:00; We 17:00-19:00; Th 10:00-12:00; Fr 10:00-12:00",,re_ortsteil.0602,Steglitz-Zehlendorf,Lichterfelde,52.4259329,13.3186185
node/4174131466,node/4174131466,Tierarztpraxis Dr. med. vet. Joachim Kirchner,Florastraße,43,13187,Berlin,+49 30 49 50 09 49,,http://www.tierarzt-in-pankow.de/,,info@tierarzt-in-pankow.de,,"Mo-Fr 14:00-18:00; Tu,Th 09:00-12:00,14:00-18:00",Dr. med. vet. Joachim Kirchner,re_ortsteil.0307,Pankow,Pankow,52.5661672,13.4090789
node/4366353588,node/4366353588,Tierarztpraxis Am Westend,,,,,+4930 3228 247,,https://www.tierarztamwestend.de/,,info@tierarztamwestend.de,,"Mo,Tu,Th,Fr 10:00-13:00,17:00-19:00; We,Sa 10:00-13:00",,re_ortsteil.0401,Charlottenburg-Wilmersdorf,Charlottenburg,52.5179456,13.2866144
node/4412304406,node/4412304406,Tierarztpraxis Alexandra Sypitzki,Sesenheimer Straße,15,10627,Berlin,+49 30 78957110,,https://www.tierarztpraxis-sypitzki.de/,,,,Mo-Fr 08:30+,,re_ortsteil.0401,Charlottenburg-Wilmersdorf,Charlottenburg,52.5105206,13.3075345
node/4686885506,node/4686885506,Tierarztpraxis Dr. Dorothea Werning,Lindenthaler Allee,6,14163,Berlin,+49 30 8025009,,https://www.tierarztpraxis-mexikoplatz.de/de/index.html,,,,"Mo, Tu, Th 10:00-13:00, 17:00-19:00; We 10:00-13:00, 17:00-20:00; Fr 10:00-17:00",Dr. Dorothea Werning,re_ortsteil.0604,Steglitz-Zehlendorf,Zehlendorf,52.4358777,13.2310121
node/4709401189,node/4709401189,Tiergesundheitszentrum,,,,,,,,,,,"Mo-Sa 10:00-12:00, Mo-Fr 15:00-19:00, Sa 10:00-12:00; PH off",,re_ortsteil.1101,Lichtenberg,Friedrichsfelde,52.4981659,13.5208894
node/4715820728,node/4715820728,Kleintierpraxis Jan Schneider,Großbeerenstraße,169-171,12277,Berlin,+49 30 29032092,,https://www.kleintierpraxis-schneider.com/,,,,"Mo,We,Fr 10:00-13:00,15:00-19:00; Tu,Th 17:00-21:00; Sa-Su 11:00-14:00",,re_ortsteil.0704,Tempelhof-Schöneberg,Mariendorf,52.428896,13.3758384
node/4789962778,node/4789962778,Tierarztpraxis Oldenburger Straße,Oldenburger Straße,44,10551,Berlin,+49303951555,,https://www.tierarztpraxis-oldenburger-strasse.de,,,,"Mo 10:00-12:00,15:00-18:00; Tu 10:00-14:00,18:00-20:00; We 10:00-12:00,15:00-18:00; Th 10:00-14:00,18:00-20:00; Fr 10:00-12:00,15:00-18:00; Sa 09:00-11:00",,re_ortsteil.0102,Mitte,Moabit,52.5289464,13.3357023
node/4809992565,node/4809992565,Tierarztpraxis am Burgerpark,Wilhelm-Kuhr-Straße,1,13187,Berlin,+49 30 48479400,,https://www.tierarzt-pankow.de/,,,,"Mo,We 14:00-19:00; Tu,Th 09:00-14:00; Fr 10:00-15:00",,re_ortsteil.0307,Pankow,Pankow,52.5694182,13.4001258
node/5029362624,node/5029362624,,Wattstraße,10,13629,,,,,,,,,,re_ortsteil.0503,Spandau,Siemensstadt,52.5373732,13.2664047
node/5090019016,node/5090019016,Tierarztpraxis,Max-Steinke-Straße,2,13086,Berlin,+49 30 9252160,,,,,,"Mo-Fr 09:00-11:00, Mo,Tu,Th,Fr 16:00-18:00, Sa 10:00-12:00",Dr.med.vet. Cordula Nitschke,re_ortsteil.0302,Pankow,Weißensee,52.5488636,13.4513273
node/5166206721,node/5166206721,Kleintierpraxis Ralf Boxhammer,Zingster Straße,5,13051,,+49 30 9206644,,http://www.ta-boxhammer.de,,,,,,re_ortsteil.1109,Lichtenberg,Neu-Hohenschönhausen,52.5640461,13.5033148
node/5190500390,node/5190500390,Tierarztpraxis Ralf Neuer,Fischerinsel,2,10179,Berlin,,,,,,,,,re_ortsteil.0101,Mitte,Mitte,52.5140108,13.408851
node/5297162644,node/5297162644,Vets for cats,Bayerischer Platz,2,10779,Berlin,,+49 30 34398877,,https://www.vetsforcats.de/,,info@vetsforcats.de,"Mo-Fr 09:00-20:00; We 09:00-14:00; Sa,Su 10:00-12:00; PH off",,re_ortsteil.0701,Tempelhof-Schöneberg,Schöneberg,52.4897098,13.3392413
node/5326151790,node/5326151790,Tierarztpraxis Lenk,Schönfließer Straße,1,,,+49304469769,,https://tierarztpraxis-lenk.de/,,info@tierarztpraxis-lenk.de,,"Mo-Fr 08:00-19:00, Sa 09:00-18:00, Su 10:00-18:00",,re_ortsteil.0301,Pankow,Prenzlauer Berg,52.5502349,13.408248
node/5357470034,node/5357470034,Tierarztpraxis am Mauerpark,,,,,,,,,,,Mo-Fr 09:00-19:00,,re_ortsteil.0301,Pankow,Prenzlauer Berg,52.5470756,13.4082736
node/5424941690,node/5424941690,Chung & Wahle,Hauptstraße,89,12159,Berlin,+49 30 8593215,,https://tierarztpraxis-chung-wahle.com/,,info@tierarztpraxis-chung-wahle.com,,"Mo,Fr 09:00-18:00; Tu,Th 09:00-20:00; We,Sa 09:00-14:00",Tierarztpraxis Chung und Wahle GbR,re_ortsteil.0701,Tempelhof-Schöneberg,Schöneberg,52.4751968,13.3401022
node/5514404517,node/5514404517,Tierarztpraxis Dr. Klaus Lendner,,,,,,,,,,,"Mo,Tu,Th,Fr 09:00-12:00,16:00-19:00; We,Sa 09:00-12:00",,re_ortsteil.0701,Tempelhof-Schöneberg,Schöneberg,52.4990938,13.344571
node/5554342322,node/5554342322,Martyna Pohnke Tierarzt,Ostpreußendamm,65,,,+49 30 75765970,,,,,,"Mo-Fr 09:00-12:00, Mo 16:00-19:00, Th 16:00-20:00",,re_ortsteil.0602,Steglitz-Zehlendorf,Lichterfelde,52.4212925,13.3101216
