clinic_name,addr_street,addr_housenumber,addr_postcode,addr_city,full_address,district,district_id,neighborhood,neighborhood_id,lor_id,services_offered,operating_hours,operating_days,phone_main,email_main,website_main,phone_raw,contact_phone_raw,email_raw,contact_email_raw,website_raw,contact_website_raw,contact_info,accessibility_features,latitude,longitude,data_source,source_osm_id,geometry,has_minimum_info
Tierarztpraxis Dr. C. Lewandowski und Dr. S. Klug,,,,,,Neukölln,11008008,Buckow,803,re_ortsteil.0803,,,Unknown,,,https://www.lewandowski-klug.de/,,,,,https://www.lewandowski-klug.de/,,Web: https://www.lewandowski-klug.de/,wheelchair=no,52.4232758,13.4367554,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1003123264)",POINT (13.4367554 52.4232758),True
Gabriele C. Müller,Brunowstraße,39,13507.0,Berlin,"Brunowstraße 39, 13507 Berlin",Reinickendorf,11012012,Tegel,1202,re_ortsteil.1202,,"Mo,Tu,Th,Fr 10:00-12:00,17:00-19:00, We 17:00-18:00, Sa 12:00-13:00",Includes Saturday,+49304343116,,https://www.tieraerztin-berlin.com/,+49304343116,,,,https://www.tieraerztin-berlin.com/,,Phone: +49304343116 | Web: https://www.tieraerztin-berlin.com/,wheelchair=limited,52.5870846,13.2811455,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1069431810)",POINT (13.2811455 52.5870846),True
Tierarztpraxis Feuerbachstraße,Feuerbachstraße,68,12163.0,Berlin,"Feuerbachstraße 68, 12163 Berlin",Steglitz-Zehlendorf,11006006,Steglitz,601,re_ortsteil.0601,,Mo-Su 09:00-12:00; Mo-Fr 16:00-20:00,Mon–Sun,+49 30 855 40 50,,,+49 30 855 40 50,,,,,,Phone: +49 30 855 40 50,wheelchair=no,52.464411,13.3395319,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1139485719)",POINT (13.3395319 52.464411),True
Tierarztpraxis Kammbach,Schweizer Tal,55,13127.0,Berlin,"Schweizer Tal 55, 13127 Berlin",Pankow,11003003,Französisch Buchholz,310,re_ortsteil.0310,,,Unknown,+4930 47 48 12 20,,https://www.tierarztpraxis-kammbach.de/,+4930 47 48 12 20,,,,https://www.tierarztpraxis-kammbach.de/,,Phone: +4930 47 48 12 20 | Web: https://www.tierarztpraxis-kammbach.de/,wheelchair=yes,52.6074605,13.41982,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1158920335)",POINT (13.41982 52.60746049999999),True
Tierarztpraxis am Velodrom,Conrad-Blenkle-Straße,4,10407.0,Berlin,"Conrad-Blenkle-Straße 4, 10407 Berlin",Pankow,11003003,Prenzlauer Berg,301,re_ortsteil.0301,,"Mo,Th 12:00-19:00; Tu,Fr 09:00-15:00; We,Sa 09:00-12:00",Includes Saturday,+493042085005,,http://www.tierarztpraxis-am-velodrom.de/,,+493042085005,,,,http://www.tierarztpraxis-am-velodrom.de/,Phone: +493042085005 | Web: http://www.tierarztpraxis-am-velodrom.de/,wheelchair=limited,52.5281462,13.4501959,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1169112227)",POINT (13.4501959 52.5281462),True
Dipl.-vet.-med. Jörg Porada,,,,,,Mitte,11001001,Mitte,101,re_ortsteil.0101,,,Unknown,,,,,,,,,,,,52.5121271,13.4195273,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1244610778)",POINT (13.4195273 52.5121271),True
Tierarztpraxis,,,,,,Lichtenberg,11011011,Fennpfuhl,1111,re_ortsteil.1111,,"Mo,Tu,Th,Fr 09:30-11:00,16:30-19:00; We 17:00-20:00; Sa 10:00-12:00",Includes Saturday,,,,,,,,,,,wheelchair=yes,52.5290099,13.4684992,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1247761224)",POINT (13.4684992 52.5290099),True
Bella brazil waxing studio,,,,,,Reinickendorf,11012012,Wittenau,1209,re_ortsteil.1209,,,Unknown,,,,,,,,,,,,52.5958722,13.3349653,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1309566310)",POINT (13.3349653 52.59587219999999),True
DVM J. Rafael,,,,,,Pankow,11003003,Prenzlauer Berg,301,re_ortsteil.0301,,"Mo,We 09:00-12:00,15:00-19:00, Tu,Th 09:00-11:00,14:00-18:00, Fr 09:00-12:00, Sa 09:00-11:00",Includes Saturday,,,,,,,,,,,wheelchair=limited,52.5525185,13.4154857,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1352697273)",POINT (13.4154857 52.552518499999984),True
Dr. König,,,,,,Charlottenburg-Wilmersdorf,11004004,Schmargendorf,403,re_ortsteil.0403,,"Mo-Sa 10:00-12:00; Mo,Tu,Th,Fr 16:00-18:00",Mon–Sat,,,,,,,,,,,,52.4789793,13.2848224,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1387989062)",POINT (13.2848224 52.4789793),True
,,,,,,Charlottenburg-Wilmersdorf,11004004,Schmargendorf,403,re_ortsteil.0403,,,Unknown,,,,,,,,,,,,52.478761,13.2825498,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1431365727)",POINT (13.2825498 52.478761),False
Flidais,Buschkrugallee,206,12359.0,Berlin,"Buschkrugallee 206, 12359 Berlin",Neukölln,11008008,Britz,802,re_ortsteil.0802,,,Unknown,,,https://www.flidais-vet.de,,,,,https://www.flidais-vet.de,,Web: https://www.flidais-vet.de,,52.4463278,13.4543051,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1444862410)",POINT (13.4543051 52.4463278),True
Ullrich Mattke,Gäblerstraße,5,13086.0,Berlin,"Gäblerstraße 5, 13086 Berlin",Pankow,11003003,Weißensee,302,re_ortsteil.0302,,"Mo-Th 09:00-12:00,15:00-19:00; Sa 10:00-12:00; Fr 09:00-12:00,15:00-17:00",Includes Saturday,,,,,,,,,,,,52.5536467,13.4483752,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1464419364)",POINT (13.4483752 52.5536467),True
Veterinary clinic at Bruno-Baum-Straße 75,Bruno-Baum-Straße,75,12685.0,Berlin,"Bruno-Baum-Straße 75, 12685 Berlin",Marzahn-Hellersdorf,11010010,Marzahn,1001,re_ortsteil.1001,,,Unknown,,,,,,,,,,,,52.5355029,13.5426037,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1492682203)",POINT (13.5426037 52.5355029),True
Tierarztpraxis O.C. Lombardi,Britzer Damm,13,12347.0,Berlin,"Britzer Damm 13, 12347 Berlin",Neukölln,11008008,Britz,802,re_ortsteil.0802,,"Mo-Sa 10:00-12:00, Mo,Th 16:00-19:00, Tu,Fr 16:00-18:00",Mon–Sat,+49 30 6251547,,https://www.lombardi-berlin.de/,+49 30 6251547,,,,https://www.lombardi-berlin.de/,,Phone: +49 30 6251547 | Web: https://www.lombardi-berlin.de/,wheelchair=limited,52.4617945,13.4350014,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1504191018)",POINT (13.4350014 52.46179449999999),True
Naturheilpraxis Dr. Hanik,,,,,,Spandau,11005005,Staaken,504,re_ortsteil.0504,emergency,,Unknown,,,,,,,,,,,,52.5303117,13.1363236,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1607627062)",POINT (13.1363236 52.5303117),True
Tierarztpraxis Tanja Lück,Ernststraße,59,13509.0,Berlin,"Ernststraße 59, 13509 Berlin",Reinickendorf,11012012,Borsigwalde,1211,re_ortsteil.1211,,"Mo-We 09:00-13:00,16:00-19:00; Th 15:00-20:00; Fr 09:00-13:00,16:00-19:00; PH off",Unknown,+493043726783,,https://www.tanja-lueck.de/,+493043726783,,,,https://www.tanja-lueck.de/,,Phone: +493043726783 | Web: https://www.tanja-lueck.de/,,52.5838893,13.3006927,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1766858344)",POINT (13.3006927 52.5838893),True
Tierarzt-Praxis Ralf Boxhammer,,,,,,Treptow-Köpenick,11009009,Köpenick,910,re_ortsteil.0910,,"Mo,We 09:00-12:00; Tu,Th,Fr 14:00-17:00; Sa,Su 11:00-13:00",Includes weekend,,,,,,,,,,,wheelchair=no,52.4544641,13.5780156,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1791397445)",POINT (13.5780156 52.4544641),True
Tierarztpraxis Michael Voigt,Ernststraße,9,12437.0,Berlin,"Ernststraße 9, 12437 Berlin",Treptow-Köpenick,11009009,Baumschulenweg,903,re_ortsteil.0903,,"Mo 09:00-12:00,15:00-18:00; Tu 13:00-18:00; We 09:00-12:00; Th 09:00-12:00,15:00-18:00; Fr 13:00-18:00",Unknown,+49 30 532 9481,,https://tierarzt-voigt.de/,+49 30 532 9481,,,,https://tierarzt-voigt.de/,,Phone: +49 30 532 9481 | Web: https://tierarzt-voigt.de/,,52.465439,13.4889671,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1832317052)",POINT (13.4889671 52.465439),True
filu,Olivaer Platz,15,10707.0,Berlin,"Olivaer Platz 15, 10707 Berlin",Charlottenburg-Wilmersdorf,11004004,Charlottenburg,401,re_ortsteil.0401,,,Unknown,,,,,,,,,,,wheelchair=limited,52.4998738,13.3142714,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1882067156)",POINT (13.3142714 52.4998738),True
Tierarztpraxis Bärenwiese/ Tiernotarzt Berlin,Uhlandstraße,151,10719.0,Berlin,"Uhlandstraße 151, 10719 Berlin",Charlottenburg-Wilmersdorf,11004004,Wilmersdorf,402,re_ortsteil.0402,,"Mo 08:00-20:00; Tu-Fr 10:00-20:00; Sa,Su 10:00-13:00",Includes weekend,+49 30 23362627,,https://www.tierarzt-baerenwiese.de/,,+49 30 23362627,,,,https://www.tierarzt-baerenwiese.de/,Phone: +49 30 23362627 | Web: https://www.tierarzt-baerenwiese.de/,wheelchair=limited,52.497396,13.3245464,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1905963733)",POINT (13.3245464 52.497396),True
Tierarztpraxis am Bundesplatz,Detmolder Straße,3,10715.0,Berlin,"Detmolder Straße 3, 10715 Berlin",Charlottenburg-Wilmersdorf,11004004,Wilmersdorf,402,re_ortsteil.0402,,"Mo,Tu,Th,Fr 09:00-12:00,16:00-18:00; We 09:00-11:00; Sa 10:00-12:00",Includes Saturday,,,,,,,,,,,,52.4788705,13.3269233,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1914085674)",POINT (13.3269233 52.4788705),True
"Dr. Demmler, Dr. Wehming",Wiener Straße,25,10999.0,Berlin,"Wiener Straße 25, 10999 Berlin",Friedrichshain-Kreuzberg,11002002,Kreuzberg,202,re_ortsteil.0202,,"Mo-Fr 10:00-12:00,16:00-19:00; Sa 10:00-12:00; Su 10:00-11:00",Mon–Fri,,,,,,,,,,,,52.4969564,13.4325994,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1965863459)",POINT (13.4325994 52.4969564),True
Tierarzt Scheibner,Dörpfeldstraße,46,12489.0,Berlin,"Dörpfeldstraße 46, 12489 Berlin",Treptow-Köpenick,11009009,Adlershof,907,re_ortsteil.0907,,"Mo-Sa 09:00-11:00; Mo,We 16:00-18:30; Tu 18:30-20:30; Fr 16:00-18:00; PH off  || ""Nach Vereinbarung""",Mon–Sat,+49 30 677 54 03,,https://www.tierarzt-adlershof.de/,+49 30 677 54 03,,,,https://www.tierarzt-adlershof.de/,,Phone: +49 30 677 54 03 | Web: https://www.tierarzt-adlershof.de/,wheelchair=yes,52.4380728,13.5481783,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 1978736705)",POINT (13.5481783 52.438072799999986),True
Tierarztpraxis am Lietzenseepark,Riehlstraße,3,14057.0,Berlin,"Riehlstraße 3, 14057 Berlin",Charlottenburg-Wilmersdorf,11004004,Charlottenburg,401,re_ortsteil.0401,,"Mo-Fr 09:00-12:00 16:00-19:00, Sa 11:00-13:00, Mo-Fr 12:00-16:00 ""nur mit Voranmeldung""",Mon–Fri,+49 30 3215058,mail@tierarztpraxis-am-lietzenseepark.de,https://tierarztpraxis-am-lietzenseepark.de/,+49 30 3215058,,mail@tierarztpraxis-am-lietzenseepark.de,,https://tierarztpraxis-am-lietzenseepark.de/,,Phone: +49 30 3215058 | Email: mail@tierarztpraxis-am-lietzenseepark.de | Web: https://tierarztpraxis-am-lietzenseepark.de/,,52.509309,13.2859209,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2000251280)",POINT (13.2859209 52.509309),True
Tierarztpraxis Dr. H. Brieger,,,,,,Steglitz-Zehlendorf,11006006,Zehlendorf,604,re_ortsteil.0604,,"Mo-We, Fr 09:30-11:00,16:00-19:00; Th 16:00-19:00; Sa 09:30-11:00",Includes Saturday,+49 30 8015852,,https://www.dr-brieger.de,,+49 30 8015852,,,,https://www.dr-brieger.de,Phone: +49 30 8015852 | Web: https://www.dr-brieger.de,,52.431227,13.2561565,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2018939619)",POINT (13.2561565 52.431227),True
Esther Bartels,,,,,,Charlottenburg-Wilmersdorf,11004004,Charlottenburg,401,re_ortsteil.0401,,,Unknown,,,,,,,,,,,wheelchair=yes,52.503473,13.3067983,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2021286582)",POINT (13.3067983 52.503473),True
Tierarztpraxis Dr. Veit-Uwe Stuhrberg,Bernulfstraße,43-45,12524.0,Berlin,"Bernulfstraße 43-45, 12524 Berlin",Treptow-Köpenick,11009009,Altglienicke,906,re_ortsteil.0906,,"Mo,Tu,Th,Fr 09:00-11:00,16:00-19:00; We 09:00-11:00; Sa 09:00-11:00",Includes Saturday,+49 30 6723384,,https://www.tierarztpraxis-altglienicke.de/,+49 30 6723384,,,,https://www.tierarztpraxis-altglienicke.de/,,Phone: +49 30 6723384 | Web: https://www.tierarztpraxis-altglienicke.de/,wheelchair=no | Grössere Treppe (abwärts) zum Eingang,52.4127843,13.541714,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2099577566)",POINT (13.541714 52.412784299999984),True
Dr. med. vet. Ulrich Bemm,Krummenseer Straße,10,12685.0,Berlin,"Krummenseer Straße 10, 12685 Berlin",Marzahn-Hellersdorf,11010010,Marzahn,1001,re_ortsteil.1001,,"Mo 13:00-18:00, Tu 10:00-15:00; We 10:00-15:00; Th 13:00-18:00; Fr 10:00-15:00",Unknown,+49 30 54378250,,https://www.tierarzt-bemm.de/,+49 30 54378250,,,,https://www.tierarzt-bemm.de/,,Phone: +49 30 54378250 | Web: https://www.tierarzt-bemm.de/,wheelchair=yes,52.541678,13.5721215,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2132599964)",POINT (13.5721215 52.541678),True
Tierarztpraxis Vesmes,Blumberger Damm,158,12685.0,Berlin,"Blumberger Damm 158, 12685 Berlin",Marzahn-Hellersdorf,11010010,Marzahn,1001,re_ortsteil.1001,,"Mo 09:00-12:00, 16:00-20:00; Tu 09:00-12:00, 16:00-20:00; We 16:00-20:00; Th 09:00-12:00, 16:00-20:00; Fr 09:00-12:00, 16:00-20:00",Unknown,+49309340440,info@tierarztpraxis-vesmes.de,https://www.tierarztpraxis-vesmes.de,+49309340440,,info@tierarztpraxis-vesmes.de,,https://www.tierarztpraxis-vesmes.de,,Phone: +49309340440 | Email: info@tierarztpraxis-vesmes.de | Web: https://www.tierarztpraxis-vesmes.de,wheelchair=yes,52.54542,13.5719026,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2136188609)",POINT (13.5719026 52.54542),True
,,,,,,Spandau,11005005,Spandau,501,re_ortsteil.0501,,,Unknown,,,,,,,,,,,wheelchair=no,52.5477287,13.2022574,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2303053618)",POINT (13.2022574 52.5477287),False
Flick,,,,,,Steglitz-Zehlendorf,11006006,Lichterfelde,602,re_ortsteil.0602,,Mo-Sa 17:00-19:00,Mon–Sat,,,,,,,,,,,,52.4178034,13.3061609,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2332698000)",POINT (13.3061609 52.4178034),True
Dr. Wolfgang Hoffmann,,,,,,Mitte,11001001,Moabit,102,re_ortsteil.0102,,"Mo-Fr 10:00-12:00,15:00-18:00",Mon–Fri,,,,,,,,,,,wheelchair=no,52.5286363,13.3412782,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2420872095)",POINT (13.3412782 52.52863629999999),True
Kleintierpraxis Dr. Jana Pohlenz,Sabinensteig,15,13053.0,Berlin,"Sabinensteig 15, 13053 Berlin",Lichtenberg,11011011,Alt-Hohenschönhausen,1110,re_ortsteil.1110,,,Unknown,,,http://www.kleintierpraxis-pohlenz.de,,,,,http://www.kleintierpraxis-pohlenz.de,,Web: http://www.kleintierpraxis-pohlenz.de,,52.5490713,13.4937991,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2444304869)",POINT (13.4937991 52.5490713),True
Tierarzt Dr. Niels Lösch,Am Faulen See,54,13053.0,Berlin,"Am Faulen See 54, 13053 Berlin",Lichtenberg,11011011,Alt-Hohenschönhausen,1110,re_ortsteil.1110,,,Unknown,,,,,,,,,,,,52.5535045,13.49705,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2444308316)",POINT (13.49705 52.5535045),True
Praxis im Märchenviertel,,,,,,Treptow-Köpenick,11009009,Köpenick,910,re_ortsteil.0910,,"Mo 14:00-18:00, Tu,Th 09:00-12:00, We 15:00-19:00; PH off",Unknown,+49 30 6574725,tierarzt@tierpraxis-rudelt.de,http://www.tierpraxis-rudelt.de/,+49 30 6574725,,tierarzt@tierpraxis-rudelt.de,,http://www.tierpraxis-rudelt.de/,,Phone: +49 30 6574725 | Email: tierarzt@tierpraxis-rudelt.de | Web: http://www.tierpraxis-rudelt.de/,wheelchair=no,52.4617784,13.5859364,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2509134926)",POINT (13.5859364 52.4617784),True
Medivet Berlin Pankow,Pasewalker Straße,25,13127.0,Berlin,"Pasewalker Straße 25, 13127 Berlin",Pankow,11003003,Französisch Buchholz,310,re_ortsteil.0310,,Mo-Fr 09:00-19:00; Sa 09:00-16:00; Su 11:00-13:00,Mon–Fri,+49 30 47469232,,https://www.medivetgroup.com/de-de/tierarzt/berlin-pankow,+49 30 47469232,,,,https://www.medivetgroup.com/de-de/tierarzt/berlin-pankow,,Phone: +49 30 47469232 | Web: https://www.medivetgroup.com/de-de/tierarzt/berlin-pankow,wheelchair=yes,52.5883891,13.429743,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2525117416)",POINT (13.429743 52.5883891),True
Tierarztpraxis Tempelhof,,,,,,Tempelhof-Schöneberg,11007007,Mariendorf,704,re_ortsteil.0704,,,Unknown,,,,,,,,,,,,52.4478307,13.3865847,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2674384521)",POINT (13.3865847 52.4478307),True
Dr. med. vet. Jeanette Sagawe,Steglitzer Damm,30,12169.0,Berlin,"Steglitzer Damm 30, 12169 Berlin",Steglitz-Zehlendorf,11006006,Steglitz,601,re_ortsteil.0601,,"Mo-Fr 09:00-13:00,16:00-20:00; Sa 10:00-16:00",Mon–Fri,+49 30 7951435,info@tieraerzte-steglitz.de,https://www.tieraerzte-steglitz.de,+49 30 7951435,,info@tieraerzte-steglitz.de,,https://www.tieraerzte-steglitz.de,,Phone: +49 30 7951435 | Email: info@tieraerzte-steglitz.de | Web: https://www.tieraerzte-steglitz.de,,52.4505337,13.3410324,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2746780787)",POINT (13.3410324 52.45053369999999),True
Bania,Kremnitzufer,2,,,Kremnitzufer 2,Steglitz-Zehlendorf,11006006,Wannsee,607,re_ortsteil.0607,,,Unknown,+49308051172,,,+49308051172,,,,,,Phone: +49308051172,,52.396095,13.161149,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 2952593533)",POINT (13.161149 52.396095),True
Tierarztpraxis Dr. Koch,Lichtenrader Damm,39,12305.0,Berlin,"Lichtenrader Damm 39, 12305 Berlin",Tempelhof-Schöneberg,11007007,Lichtenrade,706,re_ortsteil.0706,,"Mo,We,Fr 09:00-14:00; Tu,Th 15:00-20:00",Unknown,+49 30 67 03 76 57,koch@tierarztpraxis-koch.de,http://www.tierarztpraxis-koch.de/,+49 30 67 03 76 57,,koch@tierarztpraxis-koch.de,,http://www.tierarztpraxis-koch.de/,,Phone: +49 30 67 03 76 57 | Email: koch@tierarztpraxis-koch.de | Web: http://www.tierarztpraxis-koch.de/,wheelchair=no,52.4107877,13.403669,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 3065368552)",POINT (13.403669 52.4107877),True
Tierärzliche Praxis am Lützowufer,Lützowufer,26,10787.0,Berlin,"Lützowufer 26, 10787 Berlin",Mitte,11001001,Tiergarten,104,re_ortsteil.0104,,,Unknown,,,,,,,,,,,,52.5061832,13.3494203,"OSM amenity=veterinary, Berlin, snapshot 2025-12-09, via OSMNX","('node', 3080776284)",POINT (13.3494203 52.5061832),True
